TimeStamp,turbine_power1,turbine_power10,ws
2020-11-24 02:10:00,631.76,596.95,5.21
2020-11-24 02:20:00,778.8,730.12,5.69
2020-11-24 02:30:00,810.09,644.47,5.53
2020-11-24 02:40:00,645.2,550.52,5.27
2020-11-24 02:50:00,543.98,429.32,5.1
2020-11-24 03:00:00,525.45,480.04,5.2
2020-11-24 03:10:00,617.49,485.8,5.25
2020-11-24 03:20:00,564.39,449.77,5.09
2020-11-24 03:30:00,524.45,516.14,5.17
2020-11-24 03:40:00,432.19,440.43,4.94
2020-11-24 03:50:00,431.44,545.72,4.99
2020-11-24 04:00:00,612.82,733.68,5.39
2020-11-24 04:10:00,711.42,843.28,5.72
2020-11-24 04:20:00,962.48,1105.27,6.26
2020-11-24 04:30:00,926.5,905.62,6.13
2020-11-24 04:40:00,749.33,778.52,5.66
2020-11-24 04:50:00,718.17,741.8,5.78
2020-11-24 05:00:00,687.4,633.14,5.74
2020-11-24 05:10:00,465.56,415.55,5.17
2020-11-24 05:20:00,345.93,321.34,4.76
2020-11-24 05:30:00,381.84,327.22,4.72
2020-11-24 05:40:00,621.36,528.9,5.38
2020-11-24 05:50:00,437.62,351.27,5.0
2020-11-24 06:00:00,266.32,216.53,4.4
2020-11-24 06:10:00,206.27,177.74,4.23
2020-11-24 06:20:00,266.41,228.18,4.29
2020-11-24 06:30:00,240.86,154.56,4.09
2020-11-24 06:40:00,163.49,106.26,3.92
2020-11-24 06:50:00,119.43,126.44,4.03
2020-11-24 07:00:00,136.58,227.74,4.07
2020-11-24 07:10:00,44.86,169.04,3.98
2020-11-24 07:20:00,-21.89,111.92,3.44
2020-11-24 07:30:00,23.32,83.06,3.54
2020-11-24 07:40:00,81.24,30.36,3.7
2020-11-24 07:50:00,45.38,36.17,3.62
2020-11-24 08:00:00,104.83,89.19,3.96
2020-11-24 08:10:00,154.03,204.42,3.98
2020-11-24 08:20:00,203.21,318.26,4.17
2020-11-24 08:30:00,236.8,326.07,4.11
2020-11-24 08:40:00,274.96,476.22,4.34
2020-11-24 08:50:00,466.75,664.48,4.71
2020-11-24 09:00:00,676.37,831.43,5.07
2020-11-24 09:10:00,726.12,921.83,5.2
2020-11-24 09:20:00,615.15,800.18,4.94
2020-11-24 09:30:00,585.13,756.4,5.11
2020-11-24 09:40:00,802.56,810.6,5.5
2020-11-24 09:50:00,816.69,768.3,5.27
2020-11-24 10:00:00,831.32,909.57,5.49
2020-11-24 10:10:00,779.83,889.81,5.34
2020-11-24 10:20:00,699.6,865.03,5.27
2020-11-24 10:30:00,671.21,812.9,5.3
2020-11-24 10:40:00,659.96,646.58,5.09
2020-11-24 10:50:00,786.85,938.71,5.84
2020-11-24 11:00:00,1119.05,960.75,6.16
2020-11-24 11:10:00,890.2,854.83,5.87
2020-11-24 11:20:00,751.18,970.95,5.56
2020-11-24 11:30:00,953.37,970.61,5.8
2020-11-24 11:40:00,566.56,724.32,5.41
2020-11-24 11:50:00,445.46,576.86,5.15
2020-11-24 12:00:00,406.79,386.3,4.71
2020-11-24 12:10:00,180.0,390.86,4.44
2020-11-24 12:20:00,62.34,122.42,3.99
2020-11-24 12:30:00,97.02,116.87,3.87
